key,value,date
Kazuhiro Saitou,1.0,2012
Brayan S DSouza,1.0,2002
Brayan S DSouza,0,2003
Brayan S DSouza,0,2004
Brayan S DSouza,0,2005
Brayan S DSouza,0,2006
Brayan S DSouza,0,2007
Brayan S DSouza,0,2008
Brayan S DSouza,0,2009
Brayan S DSouza,0,2010
Brayan S DSouza,0,2011
Brayan S DSouza,0,2012
Kang Tai,2.0,2002
Kang Tai,0,2003
Kang Tai,0,2004
Kang Tai,0,2005
Kang Tai,0,2006
Kang Tai,0,2007
Kang Tai,0,2008
Kang Tai,0,2009
Kang Tai,0,2010
Kang Tai,0,2011
Kang Tai,0,2012
Zheng Fan,1.0,2002
Zheng Fan,0,2003
Zheng Fan,0,2004
Zheng Fan,0,2005
Zheng Fan,0,2006
Zheng Fan,0,2007
Zheng Fan,0,2008
Zheng Fan,0,2009
Zheng Fan,0,2010
Zheng Fan,0,2011
Zheng Fan,0,2012
Chandankumar Aladahalli,1.0,2002
Chandankumar Aladahalli,0,2003
Chandankumar Aladahalli,1.0,2004
Chandankumar Aladahalli,0,2005
Chandankumar Aladahalli,0,2006
Chandankumar Aladahalli,0,2007
Chandankumar Aladahalli,0,2008
Chandankumar Aladahalli,0,2009
Chandankumar Aladahalli,0,2010
Chandankumar Aladahalli,0,2011
Chandankumar Aladahalli,0,2012
Michael Sasena,2.0,2002
Michael Sasena,0,2003
Michael Sasena,0,2004
Michael Sasena,0,2005
Michael Sasena,0,2006
Michael Sasena,0,2007
Michael Sasena,0,2008
Michael Sasena,0,2009
Michael Sasena,0,2010
Michael Sasena,0,2011
Michael Sasena,0,2012
Eric Charbonneau,1.0,2002
Eric Charbonneau,0,2003
Eric Charbonneau,0,2004
Eric Charbonneau,0,2005
Eric Charbonneau,0,2006
Eric Charbonneau,0,2007
Eric Charbonneau,0,2008
Eric Charbonneau,0,2009
Eric Charbonneau,0,2010
Eric Charbonneau,0,2011
Eric Charbonneau,0,2012
Robert R Mayer,1.0,2002
Robert R Mayer,1.0,2003
Robert R Mayer,0,2004
Robert R Mayer,0,2005
Robert R Mayer,0,2006
Robert R Mayer,0,2007
Robert R Mayer,0,2008
Robert R Mayer,0,2009
Robert R Mayer,0,2010
Robert R Mayer,0,2011
Robert R Mayer,0,2012
Alice Agogino,1.0,2002
Alice Agogino,0,2003
Alice Agogino,0,2004
Alice Agogino,0,2005
