AuthorID,AuthorName,PaperID
371,"Wentao Fu",231
370,"Ata A. Eftekharian",231
460,"Pradeep Radhakrishnan",231
295,"Matthew I. Campbell",231
461,"Christian Fritz",231
40,"Yi Ren",232
43,"Panos Y. Papalambros",232
462,"Michael G. Miller",233
463,"James L. Mathieson",233
162,"Joshua D. Summers",233
464,"Gregory M. Mocko",233
465,"Beshoy Morkos",234
466,"Shraddha Joshi",234
162,"Joshua D. Summers",234
108,"Vijitashwa Pandey",235
107,"Zissimos P. Mourelatos",235
108,"Vijitashwa Pandey",236
107,"Zissimos P. Mourelatos",236
268,"Monica Majcher",236
467,"Kazuya Oizumi",237
468,"Kazuhiro Aoyama",237
469,"Iman Ebrahimi",238
470,"Farid Golnaraghi",238
471,"Gary Wang",238
472,"Ali Madani",238
473,"David Yin",238
474,"Jun Lu",238
475,"Alexandrea Chor",238
476,"Combiz Jelveh",238
477,"Xin Wang",239
478,"Yuanyuan Liu",239
479,"Fang Liu",239
480,"Chun-Yu Lin",240
481,"Gül E. Okudan",240
482,"Thomas M. Stone",241
30,"Seung-Kyum Choi",241
483,"Hemanth Amarchinta",241
484,"Jacquelyn K. S. Nagel",242
485,"Frank W. Liou",242
182,"Hongyi Xu",243
486,"Hua Deng",243
351,"Catherine Brinson",243
487,"Dmitriy Dikin",243
488,"Wing Kam Liu",243
185,"Wei Chen",243
489,"M. Steven Greene",243
490,"Craig Burkhart",243
491,"George Papakonstantopoulos",243
492,"Mike Poldneff",243
493,"Brian Literman",244
494,"Phil Cormier",244
70,"Kemper Lewis",244
495,"Dongping Deng",245
496,"Yong Chen",245
308,"Weijun Wang",246
309,"Stéphane Caro",246
310,"Fouad Bennis",246
497,"Oscar Roberto Salinas Mejia",246
311,"Bryony L. DuPont",247
48,"Jonathan Cagan",247
498,"Patrick Moriarty",247
499,"Bryant D. Hawthorne",248
172,"Jitesh H. Panchal",248
147,"Gary Stump",249
145,"Timothy W. Simpson",249
500,"Stella Oggianu",249
501,"Ritesh Khire",249
63,"Mohamed El-Morsi",250
8,"Karim Hamza",250
12,"Ashraf O. Nassef",250
64,"Sayed Metwalli",250
61,"Kazuhiro Saitou",250
332,"Prasanna Tamilselvan",251
