Joseph K. Davidson,3.0,2005 
Joseph K. Davidson,1.0,2006 
Joseph K. Davidson,1.0,2009 
Joseph K. Davidson,1.0,2011 
Joseph K. Davidson,1.0,2012 
Joseph K. Davidson,1.0,2013 
Joseph K. Davidson,1.0,2014 
Joshua D. Summers,2.0,2003 
Joshua D. Summers,2.0,2004 
Joshua D. Summers,1.0,2005 
Joshua D. Summers,3.0,2006 
Joshua D. Summers,1.0,2007 
Joshua D. Summers,1.0,2008 
Joshua D. Summers,2.0,2009 
Joshua D. Summers,4.0,2010 
Joshua D. Summers,2.0,2011 
Joshua D. Summers,2.0,2012 
Joshua D. Summers,2.0,2013 
Joshua D. Summers,1.0,2014 
K. K. Choi,1.0,2005 
K. K. Choi,1.0,2008 
K. K. Choi,2.0,2009 
K. K. Choi,1.0,2011 
K. K. Choi,2.0,2012 
K. K. Choi,1.0,2014 
Karim Hamza,2.0,2003 
Karim Hamza,1.0,2005 
Karim Hamza,1.0,2006 
Karim Hamza,2.0,2009 
Karim Hamza,3.0,2010 
Karim Hamza,4.0,2011 
Karim Hamza,3.0,2012 
Karim Hamza,5.0,2013 
Karim Hamza,5.0,2014 
Kazuhiro Izui,2.0,2002 
Kazuhiro Izui,2.0,2003 
Kazuhiro Izui,3.0,2004 
Kazuhiro Izui,4.0,2005 
Kazuhiro Izui,2.0,2006 
Kazuhiro Izui,3.0,2007 
Kazuhiro Izui,4.0,2008 
Kazuhiro Izui,2.0,2009 
Kazuhiro Saitou,2.0,2002 
Kazuhiro Saitou,5.0,2003 
Kazuhiro Saitou,1.0,2004 
Kazuhiro Saitou,2.0,2005 
Kazuhiro Saitou,2.0,2006 
Kazuhiro Saitou,1.0,2008 
Kazuhiro Saitou,1.0,2009 
Kazuhiro Saitou,3.0,2010 
Kazuhiro Saitou,3.0,2011 
Kazuhiro Saitou,1.0,2012 
Kazuhiro Saitou,2.0,2013 
Kazuhiro Saitou,2.0,2014 
Kemper Lewis,2.0,2002 
Kemper Lewis,2.0,2003 
Kemper Lewis,2.0,2004 
Kemper Lewis,4.0,2005 
Kemper Lewis,1.0,2006 
Kemper Lewis,2.0,2007 
Kemper Lewis,1.0,2008 
Kemper Lewis,1.0,2009 
Kemper Lewis,2.0,2010 
Kemper Lewis,3.0,2011 
Kemper Lewis,2.0,2012 
Kemper Lewis,2.0,2013 
Kemper Lewis,2.0,2014 
Kenji Shimada,3.0,2002 
Kenji Shimada,1.0,2003 
Kenji Shimada,2.0,2004 
Kenji Shimada,1.0,2014 
Kikuo Fujita,1.0,2002 
Kikuo Fujita,1.0,2003 
Kikuo Fujita,1.0,2005 
Kikuo Fujita,1.0,2006 
Kikuo Fujita,1.0,2007 
Kikuo Fujita,2.0,2008 
Kikuo Fujita,1.0,2009 
Kikuo Fujita,1.0,2010 
Kikuo Fujita,1.0,2011 
Kikuo Fujita,1.0,2012 
Kikuo Fujita,1.0,2014 
Kristin L. Wood,1.0,2002 
Kristin L. Wood,2.0,2006 
Kristin L. Wood,1.0,2007 
Kristin L. Wood,1.0,2008 
Kristin L. Wood,6.0,2009 
Kristin L. Wood,1.0,2011 
Kristina Shea,1.0,2005 
Kristina Shea,1.0,2006 
Kristina Shea,2.0,2008 
Kristina Shea,2.0,2009 
Kristina Shea,1.0,2011 
Kristina Shea,1.0,2012 
Kristina Shea,1.0,2013 
Kristina Shea,1.0,2014 
Kuei-Yuan Chan,1.0,2005 
Kuei-Yuan Chan,1.0,2006 
Kuei-Yuan Chan,2.0,2008 
Kuei-Yuan Chan,1.0,2009 
Kuei-Yuan Chan,2.0,2010 
Kuei-Yuan Chan,1.0,2012 
Kuei-Yuan Chan,1.0,2014 
Kyung K. Choi,2.0,2002 
Kyung K. Choi,3.0,2003 
Kyung K. Choi,1.0,2004 
Kyung K. Choi,1.0,2005 
Kyung K. Choi,2.0,2006 
Kyung K. Choi,3.0,2007 
Kyung K. Choi,1.0,2008 
Kyung K. Choi,1.0,2009 
Kyung K. Choi,2.0,2010 
Kyung K. Choi,1.0,2011 
Li Chen,1.0,2003 
Li Chen,1.0,2004 
Li Chen,2.0,2005 
Li Chen,2.0,2006 
Li Chen,1.0,2008 
Liu Du,2.0,2006 
Liu Du,3.0,2007 
Liu Du,2.0,2008 
Liu Du,1.0,2009 
Masataka Yoshimura,2.0,2002 
Masataka Yoshimura,2.0,2003 
Masataka Yoshimura,3.0,2004 
Masataka Yoshimura,4.0,2005 
Masataka Yoshimura,2.0,2006 
Masataka Yoshimura,3.0,2007 
Masataka Yoshimura,4.0,2008 
Masataka Yoshimura,3.0,2009 
Masataka Yoshimura,1.0,2010 
Masataka Yoshimura,1.0,2011 
Matthew B. Parkinson,1.0,2005 
Matthew B. Parkinson,1.0,2006 
Matthew B. Parkinson,1.0,2007 
Matthew B. Parkinson,2.0,2008 
Matthew B. Parkinson,1.0,2009 
Matthew B. Parkinson,3.0,2010 
Matthew B. Parkinson,1.0,2012 
Matthew B. Parkinson,1.0,2013 
Matthew B. Parkinson,2.0,2014 
Matthew I. Campbell,1.0,2003 
Matthew I. Campbell,2.0,2004 
Matthew I. Campbell,1.0,2006 
Matthew I. Campbell,4.0,2007 
Matthew I. Campbell,1.0,2008 
Matthew I. Campbell,1.0,2009 
Matthew I. Campbell,2.0,2011 
Matthew I. Campbell,3.0,2012 
Matthew I. Campbell,2.0,2013 
Mian Li,1.0,2005 
Mian Li,1.0,2006 
Mian Li,1.0,2007 
Mian Li,1.0,2010 
Mian Li,1.0,2012 
Mian Li,2.0,2013 
Mian Li,2.0,2014 
Michael J. Scott,2.0,2003 
Michael J. Scott,1.0,2004 
Michael J. Scott,3.0,2006 
Michael J. Scott,1.0,2009 
Michael J. Scott,1.0,2013 
Michael Kokkolaras,1.0,2002 
