DETC2010-28767,DETC2012-70529,1
DETC2010-28767,DETC2011-48000,2
DETC2010-28767,DETC2007-34687,3
DETC2010-28767,DETC2008-49871,4
DETC2010-28767,DETC2004-57212,5
DETC2011-47057,DETC2012-70529,1
DETC2011-47057,DETC2011-48000,2
DETC2011-47057,DETC2007-34687,3
DETC2011-47057,DETC2011-47487,4
DETC2011-47057,DETC2004-57212,5
DETC2007-35171,DETC2012-70529,1
DETC2007-35171,DETC2011-48608,2
DETC2007-35171,DETC2007-34892,3
DETC2007-35171,DETC2004-57255,4
DETC2007-35171,DETC2004-57258,5
DETC2010-28753,DETC2012-70529,1
DETC2010-28753,DETC2011-48000,2
DETC2010-28753,DETC2007-34687,3
DETC2010-28753,DETC2008-49871,4
DETC2010-28753,DETC2004-57212,5
DETC2006-99035,DETC2012-70529,1
DETC2006-99035,DETC2007-34687,2
DETC2006-99035,DETC2011-47487,3
DETC2006-99035,DETC2008-49871,4
DETC2006-99035,DETC2011-47437,5
DETC2012-71166,DETC2012-70529,1
DETC2012-71166,DETC2011-48608,2
DETC2012-71166,DETC2007-34892,3
DETC2012-71166,DETC2004-57255,4
DETC2012-71166,DETC2012-70521,5
DETC2007-35179,DETC2012-70529,1
DETC2007-35179,DETC2007-34687,2
DETC2007-35179,DETC2011-47487,3
DETC2007-35179,DETC2008-49871,4
DETC2007-35179,DETC2011-47437,5
DETC2004-57405,DETC2012-70529,1
DETC2004-57405,DETC2007-34687,2
DETC2004-57405,DETC2011-47487,3
DETC2004-57405,DETC2008-49871,4
DETC2004-57405,DETC2011-47437,5
DETC2004-57404,DETC2012-70529,1
DETC2004-57404,DETC2011-48608,2
DETC2004-57404,DETC2007-34892,3
DETC2004-57404,DETC2004-57255,4
DETC2004-57404,DETC2004-57258,5
DETC2012-70290,DETC2012-70529,1
DETC2012-70290,DETC2011-48608,2
DETC2012-70290,DETC2007-34892,3
DETC2012-70290,DETC2011-48000,4
DETC2012-70290,DETC2012-70521,5
DETC2008-49683,DETC2012-70529,1
DETC2008-49683,DETC2011-48000,2
DETC2008-49683,DETC2007-34687,3
DETC2008-49683,DETC2011-47487,4
DETC2008-49683,DETC2004-57212,5
DETC2008-49684,DETC2012-70529,1
DETC2008-49684,DETC2011-48608,2
DETC2008-49684,DETC2007-34892,3
DETC2008-49684,DETC2011-48000,4
DETC2008-49684,DETC2004-57255,5
DETC2004-57400,DETC2012-70529,1
DETC2004-57400,DETC2011-48608,2
DETC2004-57400,DETC2004-57255,3
DETC2004-57400,DETC2004-57258,4
DETC2004-57400,DETC2012-70521,5
DETC2007-34708,DETC2012-70529,1
DETC2007-34708,DETC2011-48608,2
DETC2007-34708,DETC2007-34892,3
DETC2007-34708,DETC2004-57255,4
DETC2007-34708,DETC2004-57258,5
DETC2002-34050,DETC2012-70529,1
DETC2002-34050,DETC2007-34892,2
DETC2002-34050,DETC2011-48000,3
DETC2002-34050,DETC2004-57255,4
DETC2002-34050,DETC2004-57258,5
DETC2006-99417,DETC2012-70529,1
DETC2006-99417,DETC2011-48608,2
DETC2006-99417,DETC2007-34892,3
DETC2006-99417,DETC2011-48000,4
DETC2006-99417,DETC2004-57255,5
DETC2008-49727,DETC2012-70529,1
DETC2008-49727,DETC2011-48608,2
DETC2008-49727,DETC2011-48000,3
DETC2008-49727,DETC2004-57255,4
DETC2008-49727,DETC2004-57258,5
DETC2007-34703,DETC2012-70529,1
DETC2007-34703,DETC2011-48608,2
DETC2007-34703,DETC2007-34892,3
DETC2007-34703,DETC2011-48000,4
DETC2007-34703,DETC2004-57255,5
DETC2008-49725,DETC2012-70529,1
DETC2008-49725,DETC2011-48608,2
DETC2008-49725,DETC2004-57255,3
DETC2008-49725,DETC2004-57258,4
DETC2008-49725,DETC2012-70521,5
DETC2011-47507,DETC2012-70529,1
DETC2011-47507,DETC2011-48608,2
DETC2011-47507,DETC2007-34892,3
DETC2011-47507,DETC2011-48000,4
DETC2011-47507,DETC2004-57255,5
DETC2005-85136,DETC2012-70529,1
DETC2005-85136,DETC2011-48608,2
DETC2005-85136,DETC2007-34892,3
DETC2005-85136,DETC2004-57255,4
DETC2005-85136,DETC2004-57258,5
DETC2004-57350,DETC2012-70529,1
DETC2004-57350,DETC2011-48608,2
DETC2004-57350,DETC2007-34892,3
